Area,Main means of travel to work,Year,Value,Flags
"Total New Zealand","Total people, main means of travel to work","2001",1727271,
"Total New Zealand","Total people, main means of travel to work","2006",1985775,
"Total New Zealand","Total people, main means of travel to work","2013",2001006,
"Total New Zealand","Worked at home","2001",166731,
"Total New Zealand","Worked at home","2006",163977,
"Total New Zealand","Worked at home","2013",169677,
"Total New Zealand","Did not go to work today","2001",195579,
"Total New Zealand","Did not go to work today","2006",203880,
"Total New Zealand","Did not go to work today","2013",207141,
"Total New Zealand","Drove a private car, truck or van","2001",831978,
"Total New Zealand","Drove a private car, truck or van","2006",951477,
"Total New Zealand","Drove a private car, truck or van","2013",971730,
"Total New Zealand","Drove a company car, truck or van","2001",164667,
"Total New Zealand","Drove a company car, truck or van","2006",212211,
"Total New Zealand","Drove a company car, truck or van","2013",217404,
"Total New Zealand","Passenger in a car, truck, van or company bus","2001",76605,
"Total New Zealand","Passenger in a car, truck, van or company bus","2006",91071,
"Total New Zealand","Passenger in a car, truck, van or company bus","2013",76437,
"Total New Zealand","Public bus","2001",52167,
"Total New Zealand","Public bus","2006",59481,
"Total New Zealand","Public bus","2013",64380,
"Total New Zealand","Train","2001",15111,
"Total New Zealand","Train","2006",19707,
"Total New Zealand","Train","2013",24636,
"Total New Zealand","Motor cycle or power cycle","2001",17307,
"Total New Zealand","Motor cycle or power cycle","2006",19692,
"Total New Zealand","Motor cycle or power cycle","2013",26208,
"Total New Zealand","Bicycle","2001",40665,
"Total New Zealand","Bicycle","2006",38091,
"Total New Zealand","Bicycle","2013",44184,
"Total New Zealand","Walked or jogged","2001",92544,
"Total New Zealand","Walked or jogged","2006",105462,
"Total New Zealand","Walked or jogged","2013",106119,
"Total New Zealand","Other","2001",12630,
"Total New Zealand","Other","2006",14535,
"Total New Zealand","Other","2013",18333,
"Total New Zealand","Total people stated","2001",1665981,
"Total New Zealand","Total people stated","2006",1879584,
"Total New Zealand","Total people stated","2013",1926252,
"Total New Zealand","Not elsewhere included","2001",61290,
"Total New Zealand","Not elsewhere included","2006",106194,
"Total New Zealand","Not elsewhere included","2013",74757,
"Northland Region","Total people, main means of travel to work","2001",54966,
"Northland Region","Total people, main means of travel to work","2006",64395,
"Northland Region","Total people, main means of travel to work","2013",61350,
"Northland Region","Worked at home","2001",9126,
"Northland Region","Worked at home","2006",8634,
"Northland Region","Worked at home","2013",8301,
"Northland Region","Did not go to work today","2001",6375,
"Northland Region","Did not go to work today","2006",6915,
"Northland Region","Did not go to work today","2013",6597,
"Northland Region","Drove a private car, truck or van","2001",24858,
"Northland Region","Drove a private car, truck or van","2006",29592,
"Northland Region","Drove a private car, truck or van","2013",29112,
"Northland Region","Drove a company car, truck or van","2001",5073,
"Northland Region","Drove a company car, truck or van","2006",7191,
"Northland Region","Drove a company car, truck or van","2013",7056,
"Northland Region","Passenger in a car, truck, van or company bus","2001",2364,
"Northland Region","Passenger in a car, truck, van or company bus","2006",2985,
"Northland Region","Passenger in a car, truck, van or company bus","2013",2376,
"Northland Region","Public bus","2001",186,
"Northland Region","Public bus","2006",195,
"Northland Region","Public bus","2013",249,
"Northland Region","Train","2001",36,
"Northland Region","Train","2006",15,
"Northland Region","Train","2013",27,
"Northland Region","Motor cycle or power cycle","2001",666,
"Northland Region","Motor cycle or power cycle","2006",783,
"Northland Region","Motor cycle or power cycle","2013",870,
"Northland Region","Bicycle","2001",597,
"Northland Region","Bicycle","2006",537,
"Northland Region","Bicycle","2013",576,
"Northland Region","Walked or jogged","2001",2877,
"Northland Region","Walked or jogged","2006",3102,
"Northland Region","Walked or jogged","2013",2808,
"Northland Region","Other","2001",306,
"Northland Region","Other","2006",333,
"Northland Region","Other","2013",507,
"Northland Region","Total people stated","2001",52467,
"Northland Region","Total people stated","2006",60282,
"Northland Region","Total people stated","2013",58473,
"Northland Region","Not elsewhere included","2001",2499,
"Northland Region","Not elsewhere included","2006",4113,
"Northland Region","Not elsewhere included","2013",2877,
"Auckland Region","Total people, main means of travel to work","2001",534561,
"Auckland Region","Total people, main means of travel to work","2006",628851,
"Auckland Region","Total people, main means of travel to work","2013",650613,
"Auckland Region","Worked at home","2001",37596,
"Auckland Region","Worked at home","2006",40950,
"Auckland Region","Worked at home","2013",44253,
"Auckland Region","Did not go to work today","2001",57252,
"Auckland Region","Did not go to work today","2006",59955,
"Auckland Region","Did not go to work today","2013",61827,
"Auckland Region","Drove a private car, truck or van","2001",278298,
"Auckland Region","Drove a private car, truck or van","2006",325461,
"Auckland Region","Drove a private car, truck or van","2013",340299,
"Auckland Region","Drove a company car, truck or van","2001",56463,
"Auckland Region","Drove a company car, truck or van","2006",68910,
"Auckland Region","Drove a company car, truck or van","2013",65481,
"Auckland Region","Passenger in a car, truck, van or company bus","2001",24060,
"Auckland Region","Passenger in a car, truck, van or company bus","2006",28671,
"Auckland Region","Passenger in a car, truck, van or company bus","2013",24510,
"Auckland Region","Public bus","2001",26349,
"Auckland Region","Public bus","2006",28566,
"Auckland Region","Public bus","2013",33933,
"Auckland Region","Train","2001",2415,
"Auckland Region","Train","2006",5655,
"Auckland Region","Train","2013",9459,
"Auckland Region","Motor cycle or power cycle","2001",2382,
"Auckland Region","Motor cycle or power cycle","2006",3126,
"Auckland Region","Motor cycle or power cycle","2013",5499,
"Auckland Region","Bicycle","2001",4923,
"Auckland Region","Bicycle","2006",5019,
"Auckland Region","Bicycle","2013",6342,
"Auckland Region","Walked or jogged","2001",18762,
"Auckland Region","Walked or jogged","2006",24057,
"Auckland Region","Walked or jogged","2013",26526,
"Auckland Region","Other","2001",5382,
"Auckland Region","Other","2006",6204,
"Auckland Region","Other","2013",7986,
"Auckland Region","Total people stated","2001",513888,
"Auckland Region","Total people stated","2006",596577,
"Auckland Region","Total people stated","2013",626121,
"Auckland Region","Not elsewhere included","2001",20676,
"Auckland Region","Not elsewhere included","2006",32274,
"Auckland Region","Not elsewhere included","2013",24492,
"Waikato Region","Total people, main means of travel to work","2001",162255,
"Waikato Region","Total people, main means of travel to work","2006",184671,
"Waikato Region","Total people, main means of travel to work","2013",186615,
"Waikato Region","Worked at home","2001",23316,
"Waikato Region","Worked at home","2006",20796,
"Waikato Region","Worked at home","2013",21009,
"Waikato Region","Did not go to work today","2001",18588,
"Waikato Region","Did not go to work today","2006",19119,
"Waikato Region","Did not go to work today","2013",19344,
"Waikato Region","Drove a private car, truck or van","2001",74307,
"Waikato Region","Drove a private car, truck or van","2006",87294,
"Waikato Region","Drove a private car, truck or van","2013",90603,
"Waikato Region","Drove a company car, truck or van","2001",15675,
"Waikato Region","Drove a company car, truck or van","2006",21252,
"Waikato Region","Drove a company car, truck or van","2013",21999,
"Waikato Region","Passenger in a car, truck, van or company bus","2001",6840,
"Waikato Region","Passenger in a car, truck, van or company bus","2006",8166,
"Waikato Region","Passenger in a car, truck, van or company bus","2013",6513,
"Waikato Region","Public bus","2001",1143,
"Waikato Region","Public bus","2006",1371,
"Waikato Region","Public bus","2013",1809,
"Waikato Region","Train","2001",129,
"Waikato Region","Train","2006",84,
"Waikato Region","Train","2013",120,
"Waikato Region","Motor cycle or power cycle","2001",2961,
"Waikato Region","Motor cycle or power cycle","2006",3312,
"Waikato Region","Motor cycle or power cycle","2013",3948,
"Waikato Region","Bicycle","2001",3873,
"Waikato Region","Bicycle","2006",3147,
"Waikato Region","Bicycle","2013",3570,
"Waikato Region","Walked or jogged","2001",8874,
"Waikato Region","Walked or jogged","2006",9252,
"Waikato Region","Walked or jogged","2013",8820,
"Waikato Region","Other","2001",717,
"Waikato Region","Other","2006",855,
"Waikato Region","Other","2013",1125,
"Waikato Region","Total people stated","2001",156429,
"Waikato Region","Total people stated","2006",174648,
"Waikato Region","Total people stated","2013",178860,
"Waikato Region","Not elsewhere included","2001",5826,
"Waikato Region","Not elsewhere included","2006",10023,
"Waikato Region","Not elsewhere included","2013",7758,
"Bay of Plenty Region","Total people, main means of travel to work","2001",100746,
"Bay of Plenty Region","Total people, main means of travel to work","2006",118470,
"Bay of Plenty Region","Total people, main means of travel to work","2013",116283,
"Bay of Plenty Region","Worked at home","2001",11037,
"Bay of Plenty Region","Worked at home","2006",11112,
"Bay of Plenty Region","Worked at home","2013",11160,
"Bay of Plenty Region","Did not go to work today","2001",12285,
"Bay of Plenty Region","Did not go to work today","2006",12906,
"Bay of Plenty Region","Did not go to work today","2013",13170,
"Bay of Plenty Region","Drove a private car, truck or van","2001",49665,
"Bay of Plenty Region","Drove a private car, truck or van","2006",58761,
"Bay of Plenty Region","Drove a private car, truck or van","2013",58200,
"Bay of Plenty Region","Drove a company car, truck or van","2001",10941,
"Bay of Plenty Region","Drove a company car, truck or van","2006",14769,
"Bay of Plenty Region","Drove a company car, truck or van","2013",14817,
"Bay of Plenty Region","Passenger in a car, truck, van or company bus","2001",4299,
"Bay of Plenty Region","Passenger in a car, truck, van or company bus","2006",5334,
"Bay of Plenty Region","Passenger in a car, truck, van or company bus","2013",4272,
"Bay of Plenty Region","Public bus","2001",396,
"Bay of Plenty Region","Public bus","2006",750,
"Bay of Plenty Region","Public bus","2013",1146,
"Bay of Plenty Region","Train","2001",66,
"Bay of Plenty Region","Train","2006",33,
"Bay of Plenty Region","Train","2013",33,
"Bay of Plenty Region","Motor cycle or power cycle","2001",1071,
"Bay of Plenty Region","Motor cycle or power cycle","2006",1188,
"Bay of Plenty Region","Motor cycle or power cycle","2013",1395,
"Bay of Plenty Region","Bicycle","2001",2415,
"Bay of Plenty Region","Bicycle","2006",2100,
"Bay of Plenty Region","Bicycle","2013",2487,
"Bay of Plenty Region","Walked or jogged","2001",4290,
