Area,Main means of travel to work,Age group,Sex,Year,Value,Flags
"Total New Zealand","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",2445141,
"Total New Zealand","Work at home","Total people - age group","Total people - sex","2018",291135,
"Total New Zealand","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",1412994,
"Total New Zealand","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",274905,
"Total New Zealand","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",97584,
"Total New Zealand","Public bus","Total people - age group","Total people - sex","2018",103194,
"Total New Zealand","Train","Total people - age group","Total people - sex","2018",48777,
"Total New Zealand","Bicycle","Total people - age group","Total people - sex","2018",47811,
"Total New Zealand","Walk or jog","Total people - age group","Total people - sex","2018",127350,
"Total New Zealand","Ferry","Total people - age group","Total people - sex","2018",6045,
"Total New Zealand","Other","Total people - age group","Total people - sex","2018",35343,
"Northland Region","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",80727,
"Northland Region","Work at home","Total people - age group","Total people - sex","2018",13995,
"Northland Region","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",48066,
"Northland Region","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",9813,
"Northland Region","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",3729,
"Northland Region","Public bus","Total people - age group","Total people - sex","2018",339,
"Northland Region","Train","Total people - age group","Total people - sex","2018",15,
"Northland Region","Bicycle","Total people - age group","Total people - sex","2018",489,
"Northland Region","Walk or jog","Total people - age group","Total people - sex","2018",3234,
"Northland Region","Ferry","Total people - age group","Total people - sex","2018",72,
"Northland Region","Other","Total people - age group","Total people - sex","2018",969,
"Auckland Region","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",830064,
"Auckland Region","Work at home","Total people - age group","Total people - sex","2018",72033,
"Auckland Region","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",494865,
"Auckland Region","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",86634,
"Auckland Region","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",33624,
"Auckland Region","Public bus","Total people - age group","Total people - sex","2018",58788,
"Auckland Region","Train","Total people - age group","Total people - sex","2018",24438,
"Auckland Region","Bicycle","Total people - age group","Total people - sex","2018",8199,
"Auckland Region","Walk or jog","Total people - age group","Total people - sex","2018",35547,
"Auckland Region","Ferry","Total people - age group","Total people - sex","2018",5331,
"Auckland Region","Other","Total people - age group","Total people - sex","2018",10611,
"Waikato Region","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",223383,
"Waikato Region","Work at home","Total people - age group","Total people - sex","2018",34902,
"Waikato Region","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",133743,
"Waikato Region","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",27450,
"Waikato Region","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",8352,
"Waikato Region","Public bus","Total people - age group","Total people - sex","2018",2526,
"Waikato Region","Train","Total people - age group","Total people - sex","2018",117,
"Waikato Region","Bicycle","Total people - age group","Total people - sex","2018",3399,
"Waikato Region","Walk or jog","Total people - age group","Total people - sex","2018",9294,
"Waikato Region","Ferry","Total people - age group","Total people - sex","2018",39,
"Waikato Region","Other","Total people - age group","Total people - sex","2018",3558,
"Bay of Plenty Region","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",147411,
"Bay of Plenty Region","Work at home","Total people - age group","Total people - sex","2018",21408,
"Bay of Plenty Region","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",90429,
"Bay of Plenty Region","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",18909,
"Bay of Plenty Region","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",5904,
"Bay of Plenty Region","Public bus","Total people - age group","Total people - sex","2018",1611,
"Bay of Plenty Region","Train","Total people - age group","Total people - sex","2018",30,
"Bay of Plenty Region","Bicycle","Total people - age group","Total people - sex","2018",2580,
"Bay of Plenty Region","Walk or jog","Total people - age group","Total people - sex","2018",4815,
"Bay of Plenty Region","Ferry","Total people - age group","Total people - sex","2018",21,
"Bay of Plenty Region","Other","Total people - age group","Total people - sex","2018",1707,
"Gisborne Region","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",22491,
"Gisborne Region","Work at home","Total people - age group","Total people - sex","2018",3393,
"Gisborne Region","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",12876,
"Gisborne Region","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",2850,
"Gisborne Region","Passenger in a car, truck, van or company bus","Total people - age group","Total people - sex","2018",1668,
"Gisborne Region","Public bus","Total people - age group","Total people - sex","2018",66,
"Gisborne Region","Train","Total people - age group","Total people - sex","2018",6,
"Gisborne Region","Bicycle","Total people - age group","Total people - sex","2018",507,
"Gisborne Region","Walk or jog","Total people - age group","Total people - sex","2018",819,
"Gisborne Region","Ferry","Total people - age group","Total people - sex","2018",3,
"Gisborne Region","Other","Total people - age group","Total people - sex","2018",306,
"Hawke's Bay Region","Total people - main means of travel to work","Total people - age group","Total people - sex","2018",83415,
"Hawke's Bay Region","Work at home","Total people - age group","Total people - sex","2018",11487,
"Hawke's Bay Region","Drive a private car, truck or van","Total people - age group","Total people - sex","2018",51909,
"Hawke's Bay Region","Drive a company car, truck or van","Total people - age group","Total people - sex","2018",9711,
