Area,Age,Sex,Year at 30 June,Value,Flags
"Total New Zealand","Total people, age","Total people, sex","2000",3857700,
"Total New Zealand","Total people, age","Total people, sex","2001",3880500,
"Total New Zealand","Total people, age","Total people, sex","2002",3948500,
"Total New Zealand","Total people, age","Total people, sex","2003",4027200,
"Total New Zealand","Total people, age","Total people, sex","2004",4087500,
"Total New Zealand","Total people, age","Total people, sex","2005",4133900,
"Total New Zealand","Total people, age","Total people, sex","2006",4184600,
"Total New Zealand","Total people, age","Total people, sex","2007",4223800,
"Total New Zealand","Total people, age","Total people, sex","2008",4259800,
"Total New Zealand","Total people, age","Total people, sex","2009",4302600,
"Total New Zealand","Total people, age","Total people, sex","2010",4350700,
"Total New Zealand","Total people, age","Total people, sex","2011",4384000,
"Total New Zealand","Total people, age","Total people, sex","2012",4408100,
"Total New Zealand","Total people, age","Total people, sex","2013",4442100,
"Total New Zealand","Total people, age","Total people, sex","2014",4516500,
"Total New Zealand","Total people, age","Total people, sex","2015",4609400,
"Total New Zealand","Total people, age","Total people, sex","2016",4714100,
"Total New Zealand","Total people, age","Total people, sex","2017",4813600,
"Total New Zealand","Total people, age","Total people, sex","2018",4900600,
"Total New Zealand","Total people, age","Total people, sex","2019",4979200,
"Total New Zealand","Total people, age","Total people, sex","2020",5090200,
"Total New Zealand","Total people, age","Total people, sex","2021",5122600,
"Northland Region","Total people, age","Total people, sex","2000",144400,
"Northland Region","Total people, age","Total people, sex","2001",144400,
"Northland Region","Total people, age","Total people, sex","2002",146000,
"Northland Region","Total people, age","Total people, sex","2003",147900,
"Northland Region","Total people, age","Total people, sex","2004",149500,
"Northland Region","Total people, age","Total people, sex","2005",151000,
"Northland Region","Total people, age","Total people, sex","2006",152700,
"Northland Region","Total people, age","Total people, sex","2007",154700,
"Northland Region","Total people, age","Total people, sex","2008",156300,
"Northland Region","Total people, age","Total people, sex","2009",158200,
"Northland Region","Total people, age","Total people, sex","2010",160600,
"Northland Region","Total people, age","Total people, sex","2011",162500,
"Northland Region","Total people, age","Total people, sex","2012",163500,
"Northland Region","Total people, age","Total people, sex","2013",164700,
"Northland Region","Total people, age","Total people, sex","2014",168200,
"Northland Region","Total people, age","Total people, sex","2015",172100,
"Northland Region","Total people, age","Total people, sex","2016",176400,
"Northland Region","Total people, age","Total people, sex","2017",181200,
"Northland Region","Total people, age","Total people, sex","2018",185800,
"Northland Region","Total people, age","Total people, sex","2019",189100,
"Northland Region","Total people, age","Total people, sex","2020",194300,
"Northland Region","Total people, age","Total people, sex","2021",197900,
"Auckland Region","Total people, age","Total people, sex","2000",1201500,
"Auckland Region","Total people, age","Total people, sex","2001",1218300,
"Auckland Region","Total people, age","Total people, sex","2002",1255800,
"Auckland Region","Total people, age","Total people, sex","2003",1297600,
"Auckland Region","Total people, age","Total people, sex","2004",1326000,
"Auckland Region","Total people, age","Total people, sex","2005",1348900,
"Auckland Region","Total people, age","Total people, sex","2006",1373000,
"Auckland Region","Total people, age","Total people, sex","2007",1390400,
"Auckland Region","Total people, age","Total people, sex","2008",1405500,
"Auckland Region","Total people, age","Total people, sex","2009",1421700,
"Auckland Region","Total people, age","Total people, sex","2010",1439600,
"Auckland Region","Total people, age","Total people, sex","2011",1459600,
"Auckland Region","Total people, age","Total people, sex","2012",1476500,
"Auckland Region","Total people, age","Total people, sex","2013",1493200,
"Auckland Region","Total people, age","Total people, sex","2014",1520400,
"Auckland Region","Total people, age","Total people, sex","2015",1552800,
"Auckland Region","Total people, age","Total people, sex","2016",1589800,
"Auckland Region","Total people, age","Total people, sex","2017",1625100,
"Auckland Region","Total people, age","Total people, sex","2018",1654800,
"Auckland Region","Total people, age","Total people, sex","2019",1681300,
"Auckland Region","Total people, age","Total people, sex","2020",1716900,
"Auckland Region","Total people, age","Total people, sex","2021",1715600,
"Waikato Region","Total people, age","Total people, sex","2000",368100,
"Waikato Region","Total people, age","Total people, sex","2001",368400,
"Waikato Region","Total people, age","Total people, sex","2002",373400,
"Waikato Region","Total people, age","Total people, sex","2003",379200,
"Waikato Region","Total people, age","Total people, sex","2004",384500,
"Waikato Region","Total people, age","Total people, sex","2005",388700,
"Waikato Region","Total people, age","Total people, sex","2006",393200,
"Waikato Region","Total people, age","Total people, sex","2007",397300,
"Waikato Region","Total people, age","Total people, sex","2008",401600,
"Waikato Region","Total people, age","Total people, sex","2009",406600,
"Waikato Region","Total people, age","Total people, sex","2010",412400,
"Waikato Region","Total people, age","Total people, sex","2011",417300,
"Waikato Region","Total people, age","Total people, sex","2012",421500,
"Waikato Region","Total people, age","Total people, sex","2013",424600,
